label, text
code share indicator, no code share flights
commission, % commission applies
infant commission, па Infant tickets no any commission applies
sale restriction, apply for the sales and ticket issuance are in usa
sale restriction, the sale and ticket issuance are both in usa for transportation originating in usa
ticketing period, ticketing period
ticketing period, tickets must be issued
ticketing period, ticketing effective period
ticketing period, ticketing starting
ticketing period, ticketing valid
ticketing period, valid for ticketing and travelling
tour code, tour code
travelling period, traveling dates
travelling period, travelling period
travelling period, valid for ticketing and travelling
